in s,C1 in V
-9.1200E-08,4.47108466644E-02
-9.1000E-08,4.58644177299E-02
-9.0800E-08,4.59978902247E-02
-9.0600E-08,4.88369199913E-02
-9.0400E-08,4.68695173506E-02
-9.0200E-08,4.59517059382E-02
-9.0000E-08,4.66377716977E-02
-8.9800E-08,4.46277703624E-02
-8.9600E-08,4.81461533811E-02
-8.9400E-08,4.65912917163E-02
-8.9200E-08,4.21808367129E-02
-8.9000E-08,4.01886725333E-02
-8.8800E-08,4.29898533504E-02
-8.8600E-08,4.48958608787E-02
-8.8400E-08,4.60379557218E-02
-8.8200E-08,4.51225261670E-02
-8.8000E-08,4.36698608566E-02
-8.7800E-08,4.26811944228E-02
-8.7600E-08,4.40293513704E-02
-8.7400E-08,4.43869256880E-02
-8.7200E-08,4.11884659436E-02
-8.7000E-08,4.46183267515E-02
-8.6800E-08,4.78373617399E-02
-8.6600E-08,4.69703912269E-02
-8.6400E-08,4.97177951504E-02
-8.6200E-08,4.74886768963E-02
-8.6000E-08,4.91510504391E-02
-8.5800E-08,4.67369668651E-02
-8.5600E-08,4.60927617270E-02
-8.5400E-08,4.46374887135E-02
-8.5200E-08,4.17798441369E-02
-8.5000E-08,4.07324228901E-02
-8.4800E-08,4.08356925938E-02
-8.4600E-08,4.48067239951E-02
-8.4400E-08,4.75282255094E-02
-8.4200E-08,4.71429466736E-02
-8.4000E-08,4.46153721306E-02
-8.3800E-08,4.33199676219E-02
-8.3600E-08,4.30376162287E-02
-8.3400E-08,4.16962928604E-02
-8.3200E-08,4.57449988928E-02
-8.3000E-08,4.73497794475E-02
-8.2800E-08,4.34392770287E-02
-8.2600E-08,4.08837046009E-02
-8.2400E-08,4.32840115856E-02
-8.2200E-08,4.67580100987E-02
-8.2000E-08,4.77900086436E-02
-8.1800E-08,4.52151345555E-02
-8.1600E-08,4.74378173705E-02
-8.1400E-08,4.85858493950E-02
-8.1200E-08,4.69295201357E-02
-8.1000E-08,4.50951778796E-02
-8.0800E-08,4.15198537987E-02
-8.0600E-08,4.32307259645E-02
-8.0400E-08,4.61889347527E-02
-8.0200E-08,4.82618189882E-02
-8.0000E-08,4.55807857681E-02
-7.9800E-08,4.17340044398E-02
-7.9600E-08,4.26031472627E-02
-7.9400E-08,4.16874126997E-02
-7.9200E-08,4.24546385650E-02
-7.9000E-08,4.72417786252E-02
-7.8800E-08,4.90073729772E-02
-7.8600E-08,4.96435268316E-02
-7.8400E-08,4.22316450160E-02
